"filename", "language", "C", "C++", "Makefile", "Markdown", "Shell Script", "reStructuredText", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Boot/GDT.rst", "reStructuredText", 0, 0, 0, 0, 0, 23, 0, 6, 29
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Boot/IDT.rst", "reStructuredText", 0, 0, 0, 0, 0, 59, 0, 22, 81
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Boot/PIC.rst", "reStructuredText", 0, 0, 0, 0, 0, 20, 0, 6, 26
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Boot/Paging.rst", "reStructuredText", 0, 0, 0, 0, 0, 43, 0, 24, 67
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Devices/Filesystem.rst", "reStructuredText", 0, 0, 0, 0, 0, 30, 0, 8, 38
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Devices/Keyboard.rst", "reStructuredText", 0, 0, 0, 0, 0, 19, 0, 6, 25
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Devices/RTC.rst", "reStructuredText", 0, 0, 0, 0, 0, 32, 0, 5, 37
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Devices/Terminal.rst", "reStructuredText", 0, 0, 0, 0, 0, 13, 0, 6, 19
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/Syscall/syscall.rst", "reStructuredText", 0, 0, 0, 0, 0, 120, 0, 70, 190
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/Documentation/VFS/virtual-file-system.rst", "reStructuredText", 0, 0, 0, 0, 0, 24, 0, 10, 34
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/README.md", "Markdown", 0, 0, 0, 43, 0, 0, 0, 28, 71
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/Makefile", "Makefile", 0, 0, 16, 0, 0, 0, 2, 8, 26
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/fish/blink.h", "C++", 0, 14, 0, 0, 0, 0, 0, 2, 16
