"filename", "language", "C", "C++", "Makefile", "Markdown", "reStructuredText", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391main.c", "C", 24, 0, 0, 0, 0, 0, 3, 27
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391pingpong.c", "C", 63, 0, 0, 0, 0, 13, 14, 90
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391shell.c", "C", 31, 0, 0, 0, 0, 0, 6, 37
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391sigtest.c", "C", 69, 0, 0, 0, 0, 0, 13, 82
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391support.c", "C", 76, 0, 0, 0, 0, 10, 19, 105
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391support.h", "C++", 0, 10, 0, 0, 0, 0, 4, 14
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391syscall.h", "C++", 0, 22, 0, 0, 0, 7, 7, 36
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391syserr.c", "C", 237, 0, 0, 0, 0, 71, 39, 347
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391sysnum.h", "C++", 0, 13, 0, 0, 0, 0, 3, 16
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/syscalls/ece391testprint.c", "C", 8, 0, 0, 0, 0, 0, 6, 14
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/usr/bsh.c", "C", 103, 0, 0, 0, 0, 87, 45, 235
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/usr/ps.c", "C", 6, 0, 0, 0, 0, 14, 3, 23
"Total", "-", 1574, 174, 35, 43, 383, 389, 605, 3203
