"filename", "language", "Shell Script", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/vfs/file.h", "C++", 0, 0, 0, 17, 4, 7, 28
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/include/vfs/vfs.h", "C++", 0, 0, 0, 24, 0, 9, 33
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/access.c", "C", 0, 0, 22, 0, 21, 8, 51
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/exception.c", "C", 0, 0, 86, 0, 9, 26, 121
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/file.c", "C", 0, 0, 18, 0, 11, 4, 33
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/i8259.c", "C", 0, 0, 45, 0, 25, 12, 82
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/idt.c", "C", 0, 0, 83, 0, 86, 26, 195
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/kernel.c", "C", 0, 0, 130, 0, 29, 36, 195
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/kmalloc.c", "C", 0, 0, 349, 0, 139, 67, 555
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/pid.c", "C", 0, 0, 21, 0, 29, 15, 65
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/process.c", "C", 0, 0, 263, 0, 208, 123, 594
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/rbtree.c", "C", 0, 0, 1, 0, 0, 2, 3
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/sched.c", "C", 0, 0, 355, 0, 364, 183, 902
"/home/bowen/Developer/ECE391/VM/ece391/ece391_share/work/dev/illinix/student-distrib/kernel/syscall.c", "C", 0, 0, 69, 0, 84, 37, 190
